Item#,Qty,Product #,Product Description,Config Name,Solution Id,Support For,CLIC Status,Unit Price (USD) ,Extended List Price (USD),Expert BOM Comment,NOTES
,2,P50400-B21  0D1,Factory Integrated,,20101,,,0,0,,
720,2,P35876-B21,HPE CE Mark Removal FIO Enablement Kit,,20101,,,1,2,,
721,2,P52351-B21,HPE DL3XX Gen11 Easy Install Rail 2 Kit,,20101,,,141,282,,
,2,P52351-B21  0D1,Factory Integrated,,20101,,,0,0,,
722,4,P58458-B21,HPE ProLiant DL3X5 Gen11 2U Standard Heat Sink Kit,,20101,,,125,500,,
,4,P58458-B21  0D1,Factory Integrated,,20101,,,0,0,,
800,1,R9F60A,HPE Aruba Networking Universal 4-post Duct Kit,1GbE Switch#1,20101,,,805,805,,
,1,R9F60A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
900,1,S0E74A,HPE Cray Universal Rail Kit for Aruba Switches,1GbE Switch#1,20101,,,581,581,,
,1,S0E74A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
,,,,,,,,,,,
Total,,,,,,,,,,314747,USD
